species_id,collection_id,isolation_id,substrate,collection_island,collection_trail,collection_longitude,collection_latitude
C. briggsae,C-0792,S-12218,Fruit,Big Island,Manuka Nature Trail,-155.820397,19.120342
C. briggsae,C-0792,S-12220,Fruit,Big Island,Manuka Nature Trail,-155.820397,19.120342
C. briggsae,C-0791,S-12327,Fruit,Big Island,Manuka Nature Trail,-155.820694,19.120247
C. briggsae,C-0791,S-12328,Fruit,Big Island,Manuka Nature Trail,-155.820694,19.120247
C. briggsae,C-0791,S-12653,Fruit,Big Island,Manuka Nature Trail,-155.820694,19.120247
C. briggsae,C-0791,S-12648,Fruit,Big Island,Manuka Nature Trail,-155.820694,19.120247
C. briggsae,C-0791,S-12646,Fruit,Big Island,Manuka Nature Trail,-155.820694,19.120247
C. briggsae,C-0745,S-12464,Flower,Big Island,Manuka Nature Trail,-155.826394,19.110611
C. briggsae,C-0745,S-12440,Flower,Big Island,Manuka Nature Trail,-155.826394,19.110611
C. briggsae,C-0745,S-12438,Flower,Big Island,Manuka Nature Trail,-155.826394,19.110611
C. briggsae,C-0745,S-12463,Flower,Big Island,Manuka Nature Trail,-155.826394,19.110611
C. briggsae,C-0750,S-11988,Flower,Big Island,Manuka Nature Trail,-155.826447,19.110589
C. briggsae,C-0750,S-11989,Flower,Big Island,Manuka Nature Trail,-155.826447,19.110589
C. briggsae,C-0750,S-11990,Flower,Big Island,Manuka Nature Trail,-155.826447,19.110589
C. briggsae,C-0750,S-11991,Flower,Big Island,Manuka Nature Trail,-155.826447,19.110589
C. briggsae,C-0750,S-11992,Flower,Big Island,Manuka Nature Trail,-155.826447,19.110589
C. briggsae,C-0750,S-11993,Flower,Big Island,Manuka Nature Trail,-155.826447,19.110589
C. elegans,C-1946,S-11176,Fruit,Kauai,Awa'awapuhi Trail,-159.667897,22.149703
C. elegans,C-1946,S-11212,Fruit,Kauai,Awa'awapuhi Trail,-159.667897,22.149703
C. elegans,C-1946,S-11213,Fruit,Kauai,Awa'awapuhi Trail,-159.667897,22.149703
C. elegans,C-1946,S-11214,Fruit,Kauai,Awa'awapuhi Trail,-159.667897,22.149703
C. elegans,C-1946,S-11215,Fruit,Kauai,Awa'awapuhi Trail,-159.667897,22.149703
C. elegans,C-1962,S-10893,Leaf litter,Kauai,Awa'awapuhi Trail,-159.666492,22.149092
C. elegans,C-1962,S-10894,Leaf litter,Kauai,Awa'awapuhi Trail,-159.666492,22.149092
C. elegans,C-1962,S-10895,Leaf litter,Kauai,Awa'awapuhi Trail,-159.666492,22.149092
C. elegans,C-1962,S-10896,Leaf litter,Kauai,Awa'awapuhi Trail,-159.666492,22.149092
C. elegans,C-1962,S-10897,Leaf litter,Kauai,Awa'awapuhi Trail,-159.666492,22.149092
C. elegans,C-1962,S-10898,Leaf litter,Kauai,Awa'awapuhi Trail,-159.666492,22.149092
C. elegans,C-1113,S-10888,Fruit,Kauai,Awa'awapuhi Trail,-159.662031,22.147283
C. elegans,C-1091,S-10993,Leaf litter,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1091,S-10994,Leaf litter,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1091,S-10995,Leaf litter,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1091,S-10996,Leaf litter,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1093,S-11129,Fruit,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1093,S-11130,Fruit,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1093,S-11128,Fruit,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1093,S-11127,Fruit,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1093,S-11126,Fruit,Kauai,Awa'awapuhi Trail,-159.663406,22.146997
C. elegans,C-1377,S-11179,Leaf litter,Kauai,Awa'awapuhi Trail,-159.661372,22.146558
C. elegans,C-1377,S-11180,Leaf litter,Kauai,Awa'awapuhi Trail,-159.661372,22.146558
C. elegans,C-1377,S-11181,Leaf litter,Kauai,Awa'awapuhi Trail,-159.661372,22.146558
C. elegans,C-1377,S-11182,Leaf litter,Kauai,Awa'awapuhi Trail,-159.661372,22.146558
C. elegans,C-1377,S-11183,Leaf litter,Kauai,Awa'awapuhi Trail,-159.661372,22.146558
C. elegans,C-1394,S-11228,Flower,Kauai,Awa'awapuhi Trail,-159.655367,22.143803
C. elegans,C-1394,S-11230,Flower,Kauai,Awa'awapuhi Trail,-159.655367,22.143803
C. elegans,C-1394,S-11231,Flower,Kauai,Awa'awapuhi Trail,-159.655367,22.143803
C. elegans,C-1394,S-11232,Flower,Kauai,Awa'awapuhi Trail,-159.655367,22.143803
C. elegans,C-1394,S-11095,Flower,Kauai,Awa'awapuhi Trail,-159.655367,22.143803
C. elegans,C-1099,S-11012,Leaf litter,Kauai,Awa'awapuhi Trail,-159.652867,22.142139
C. elegans,C-1099,S-11015,Leaf litter,Kauai,Awa'awapuhi Trail,-159.652867,22.142139
C. elegans,C-1099,S-11016,Leaf litter,Kauai,Awa'awapuhi Trail,-159.652867,22.142139
C. elegans,C-1401,S-11500,Fruit,Kauai,Awa'awapuhi Trail,-159.648914,22.141197
C. elegans,C-1401,S-11501,Fruit,Kauai,Awa'awapuhi Trail,-159.648914,22.141197
C. elegans,C-1401,S-11502,Fruit,Kauai,Awa'awapuhi Trail,-159.648914,22.141197
C. elegans,C-1401,S-11503,Fruit,Kauai,Awa'awapuhi Trail,-159.648914,22.141197
C. elegans,C-1401,S-11504,Fruit,Kauai,Awa'awapuhi Trail,-159.648914,22.141197
C. elegans,C-1972,S-11072,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.647806,22.135492
C. elegans,C-1972,S-11073,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.647806,22.135492
C. elegans,C-1972,S-11074,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.647806,22.135492
C. elegans,C-1972,S-10856,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.647806,22.135492
C. elegans,C-1972,S-10857,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.647806,22.135492
C. elegans,C-1972,S-10858,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.647806,22.135492
C. elegans,C-1981,S-10871,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648075,22.135483
C. elegans,C-1981,S-11035,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648075,22.135483
C. elegans,C-1981,S-10784,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648075,22.135483
C. elegans,C-1981,S-10785,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648075,22.135483
C. elegans,C-1981,S-10872,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648075,22.135483
C. elegans,C-1969,S-10827,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648294,22.135358
C. elegans,C-1969,S-10828,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648294,22.135358
C. elegans,C-1969,S-10829,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648294,22.135358
C. elegans,C-1970,S-10966,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648311,22.135344
C. elegans,C-1964,S-10997,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648969,22.135156
C. elegans,C-1967,S-10863,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648306,22.135125
C. elegans,C-1967,S-10862,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648306,22.135125
C. elegans,C-1967,S-10866,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648306,22.135125
C. elegans,C-1967,S-10865,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.648306,22.135125
C. elegans,C-0683,S-11372,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649164,22.134886
C. elegans,C-0683,S-11375,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649164,22.134886
C. elegans,C-0683,S-11373,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649164,22.134886
C. elegans,C-0683,S-11374,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649164,22.134886
C. elegans,C-1985,S-10802,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.64945,22.134589
C. elegans,C-1985,S-10807,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.64945,22.134589
C. elegans,C-0681,S-11690,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649456,22.134589
C. elegans,C-0681,S-11692,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649456,22.134589
C. elegans,C-0681,S-11694,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649456,22.134589
C. elegans,C-0681,S-11689,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649456,22.134589
C. elegans,C-1986,S-11037,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649756,22.134192
C. elegans,C-0677,S-11898,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650044,22.134169
C. elegans,C-0677,S-11905,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650044,22.134169
C. elegans,C-0678,S-11298,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.649839,22.134164
C. elegans,C-0675,S-11539,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650331,22.134086
C. elegans,C-0675,S-11541,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650331,22.134086
C. elegans,C-0673,S-11783,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650544,22.133714
C. elegans,C-0673,S-11782,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650544,22.133714
C. elegans,C-0673,S-11781,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650544,22.133714
C. elegans,C-0673,S-11780,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650544,22.133714
C. elegans,C-0673,S-11779,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.650544,22.133714
C. elegans,C-0670,S-11549,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651092,22.133356
C. elegans,C-0670,S-11536,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651092,22.133356
C. elegans,C-0669,S-11337,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651264,22.133228
C. elegans,C-0669,S-11338,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651264,22.133228
C. elegans,C-0669,S-11339,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651264,22.133228
C. elegans,C-0669,S-11340,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651264,22.133228
C. elegans,C-0669,S-11461,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651264,22.133228
C. elegans,C-0657,S-11418,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651389,22.133106
C. elegans,C-0668,S-11509,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651531,22.132961
C. elegans,C-0668,S-11510,Fruit,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651531,22.132961
C. elegans,C-0635,S-11377,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651728,22.132297
C. elegans,C-0635,S-11414,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651728,22.132297
C. elegans,C-0635,S-11415,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651728,22.132297
C. elegans,C-0635,S-11416,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651728,22.132297
C. elegans,C-0635,S-11417,Leaf litter,Kauai,Pu'u Ka Ohelo Berry Flat Trail,-159.651728,22.132297
C. elegans,C-1216,S-10775,Flower,Oahu,"NA",-157.822772,21.329164
C. elegans,C-1216,S-10776,Flower,Oahu,"NA",-157.822772,21.329164
C. elegans,C-1216,S-10773,Flower,Oahu,"NA",-157.822772,21.329164
C. elegans,C-1034,S-10412,Fruit,Oahu,Wiliwilinui Ridge Trail,-157.761807,21.311768
C. elegans,C-1034,S-10318,Fruit,Oahu,Wiliwilinui Ridge Trail,-157.761807,21.311768
C. elegans,C-1034,S-10316,Fruit,Oahu,Wiliwilinui Ridge Trail,-157.761807,21.311768
C. elegans,C-1034,S-10236,Fruit,Oahu,Wiliwilinui Ridge Trail,-157.761807,21.311768
C. elegans,C-1575,S-11877,Fruit,Maui,"NA",-156.280914,20.837084
C. elegans,C-1569,S-11901,Fruit,Maui,"NA",-156.280857,20.837057
C. elegans,C-1569,S-11894,Fruit,Maui,"NA",-156.280857,20.837057
C. elegans,C-1569,S-11904,Fruit,Maui,"NA",-156.280857,20.837057
C. elegans,C-1569,S-11895,Fruit,Maui,"NA",-156.280857,20.837057
C. elegans,C-1533,S-11731,Fruit,Maui,"NA",-156.280879,20.837056
C. elegans,C-1571,S-11900,Fruit,Maui,"NA",-156.280906,20.837038
C. elegans,C-1573,S-11854,Fruit,Maui,Kahakapao Loop Trail,-156.278045,20.830426
C. elegans,C-0537,S-10770,Leaf litter,Maui,Kahakapao Loop Trail,-156.276037,20.827135
C. elegans,C-0537,S-10769,Leaf litter,Maui,Kahakapao Loop Trail,-156.276037,20.827135
C. elegans,C-0537,S-10768,Leaf litter,Maui,Kahakapao Loop Trail,-156.276037,20.827135
C. elegans,C-0537,S-10766,Leaf litter,Maui,Kahakapao Loop Trail,-156.276037,20.827135
C. elegans,C-0914,S-11517,Fruit,Maui,Kahakapao Loop Trail,-156.277209,20.826934
C. elegans,C-0914,S-11518,Fruit,Maui,Kahakapao Loop Trail,-156.277209,20.826934
C. elegans,C-0914,S-11519,Fruit,Maui,Kahakapao Loop Trail,-156.277209,20.826934
C. elegans,C-0914,S-11191,Fruit,Maui,Kahakapao Loop Trail,-156.277209,20.826934
C. elegans,C-0914,S-11192,Fruit,Maui,Kahakapao Loop Trail,-156.277209,20.826934
C. elegans,C-0914,S-11193,Fruit,Maui,Kahakapao Loop Trail,-156.277209,20.826934
C. elegans,C-0913,S-11240,Fruit,Maui,Kahakapao Loop Trail,-156.277237,20.82693
C. elegans,C-0913,S-11237,Fruit,Maui,Kahakapao Loop Trail,-156.277237,20.82693
C. elegans,C-0913,S-11235,Fruit,Maui,Kahakapao Loop Trail,-156.277237,20.82693
C. elegans,C-0913,S-11234,Fruit,Maui,Kahakapao Loop Trail,-156.277237,20.82693
C. elegans,C-1529,S-11526,Fruit,Maui,Kahakapao Loop Trail,-156.279018,20.826718
C. elegans,C-1529,S-11523,Fruit,Maui,Kahakapao Loop Trail,-156.279018,20.826718
C. elegans,C-1529,S-11524,Fruit,Maui,Kahakapao Loop Trail,-156.279018,20.826718
C. elegans,C-1529,S-11522,Fruit,Maui,Kahakapao Loop Trail,-156.279018,20.826718
C. elegans,C-0905,S-11842,Fruit,Maui,Kahakapao Loop Trail,-156.277068,20.826691
C. elegans,C-0905,S-11839,Fruit,Maui,Kahakapao Loop Trail,-156.277068,20.826691
C. elegans,C-0905,S-11838,Fruit,Maui,Kahakapao Loop Trail,-156.277068,20.826691
C. elegans,C-0905,S-11837,Fruit,Maui,Kahakapao Loop Trail,-156.277068,20.826691
C. elegans,C-1531,S-11568,Fruit,Maui,Kahakapao Loop Trail,-156.276841,20.82662
C. elegans,C-1531,S-11569,Fruit,Maui,Kahakapao Loop Trail,-156.276841,20.82662
